question_set,variant,n,route_change_rate,brier,delta_brier_vs_base,log_score,delta_log_vs_base
2025-03-02-llm,base,1535,0.0,0.20772754309304814,0.0,0.5946778193223372,0.0
2025-03-02-llm,hist_coverage_minus_0.10,1535,0.0,0.20772754309304814,0.0,0.5946778193223372,0.0
2025-03-02-llm,hist_coverage_plus_0.10,1535,0.0,0.20772754309304814,0.0,0.5946778193223372,0.0
2025-03-02-llm,market_sharpness_minus_0.05,1535,0.0026058631921824105,0.20770110132602668,-2.644176702146228e-05,0.5946240230435248,-5.3796278812412446e-05
2025-03-02-llm,market_sharpness_plus_0.05,1535,0.0026058631921824105,0.20776895000589957,4.140691285142717e-05,0.5947649535190661,8.713419672889966e-05
2025-03-02-llm,prior_sharpness_minus_0.06,1535,0.0006514657980456026,0.20767423340526903,-5.3309687779112824e-05,0.5945435912690147,-0.00013422805332252707
2025-03-02-llm,prior_sharpness_plus_0.06,1535,0.0,0.20772754309304814,0.0,0.5946778193223372,0.0
2025-03-02-llm,source_prior_minus_0.06,1535,0.0,0.20772754309304814,0.0,0.5946778193223372,0.0
2025-03-02-llm,source_prior_plus_0.06,1535,0.0,0.20772754309304814,0.0,0.5946778193223372,0.0
2025-03-02-llm,noisy_strength_minus_0.05,1535,0.2013029315960912,0.21040425674978364,0.0026767136567354965,0.6004329750486899,0.0057551557263526565
2025-03-02-llm,noisy_strength_plus_0.05,1535,0.20195439739413681,0.207089189654143,-0.0006383534389051426,0.5933974521926799,-0.0012803671296572894
2025-03-02-llm,horizon_150,1535,0.08078175895765473,0.20861320965880994,0.0008856665657618057,0.5966523913549133,0.0019745720325761162
2025-03-02-llm,horizon_9999,1535,0.0,0.20772754309304814,0.0,0.5946778193223372,0.0
2025-03-02-llm,search_enabled_low,1535,0.0013029315960912053,0.207831307539841,0.0001037644467928589,0.5948987725086049,0.00022095318626769167
2025-03-16-llm,base,1539,0.0,0.19926695455088933,0.0,0.5735611005925784,0.0
2025-03-16-llm,hist_coverage_minus_0.10,1539,0.0,0.19926695455088933,0.0,0.5735611005925784,0.0
2025-03-16-llm,hist_coverage_plus_0.10,1539,0.0,0.19926695455088933,0.0,0.5735611005925784,0.0
2025-03-16-llm,market_sharpness_minus_0.05,1539,0.002599090318388564,0.19924835364896384,-1.8600901925486246e-05,0.5735236180969449,-3.74824956335118e-05
2025-03-16-llm,market_sharpness_plus_0.05,1539,0.0,0.19926695455088933,0.0,0.5735611005925784,0.0
2025-03-16-llm,prior_sharpness_minus_0.06,1539,0.003248862897985705,0.19922105389194,-4.5900658949327156e-05,0.5734450681183162,-0.00011603247426217322
2025-03-16-llm,prior_sharpness_plus_0.06,1539,0.0,0.19926695455088933,0.0,0.5735611005925784,0.0
2025-03-16-llm,source_prior_minus_0.06,1539,0.0,0.19926695455088933,0.0,0.5735611005925784,0.0
2025-03-16-llm,source_prior_plus_0.06,1539,0.0,0.19926695455088933,0.0,0.5735611005925784,0.0
2025-03-16-llm,noisy_strength_minus_0.05,1539,0.198180636777128,0.20462937511298926,0.005362420562099929,0.58507078739672,0.011509686804141661
2025-03-16-llm,noisy_strength_plus_0.05,1539,0.18778427550357374,0.200248205344962,0.0009812507940726578,0.5756724755303396,0.0021113749377612567
2025-03-16-llm,horizon_150,1539,0.07992202729044834,0.20168184981017823,0.002414895259288896,0.578492146048134,0.0049310454555556715
2025-03-16-llm,horizon_9999,1539,0.0,0.19926695455088933,0.0,0.5735611005925784,0.0
2025-03-16-llm,search_enabled_low,1539,0.007147498375568551,0.1992528160816638,-1.4138469225516426e-05,0.5735317015261939,-2.939906638443901e-05
2025-03-30-llm,base,1539,0.0,0.18628460948295886,0.0,0.5414472314343607,0.0
2025-03-30-llm,hist_coverage_minus_0.10,1539,0.0,0.18628460948295886,0.0,0.5414472314343607,0.0
2025-03-30-llm,hist_coverage_plus_0.10,1539,0.0,0.18628460948295886,0.0,0.5414472314343607,0.0
2025-03-30-llm,market_sharpness_minus_0.05,1539,0.003248862897985705,0.18625483033479925,-2.9779148159603253e-05,0.5413872542020207,-5.997723233996943e-05
2025-03-30-llm,market_sharpness_plus_0.05,1539,0.001299545159194282,0.1862723724390382,-1.2237043920670931e-05,0.5414202817204976,-2.6949713863078095e-05
2025-03-30-llm,prior_sharpness_minus_0.06,1539,0.001299545159194282,0.18625158555294719,-3.302393001167192e-05,0.5413639275487772,-8.330388558352997e-05
