question_set,system,n,brier,log_score,calibration_error
2025-06-22-llm,hybrid_analog_search,1460.0,0.19383051847295876,0.566225568043631,0.05230576872622449
2025-06-22-llm,market_only,1460.0,0.2371358548255781,0.660999711002293,0.1190906813472225
2025-06-22-llm,reliability_routed_gate,1460.0,0.18967942955098524,0.5551662240762412,0.05005571415393521
2025-06-22-llm,search_llm_loop,1460.0,0.19383051847295876,0.566225568043631,0.05230576872622449
2025-06-22-llm,source_routed_gate,1460.0,0.19138675787565815,0.5612056197496351,0.07587660434063542
2025-06-22-llm,taxonomy_routed_gate,1460.0,0.18979268737464433,0.5542458680974716,0.05181548002915299
2025-08-03-llm,aia_baseline,1236.0,0.196143936898372,0.5745203544303636,0.1283674128820464
2025-08-03-llm,evidence_graph_v1,1236.0,0.17906318730333742,0.5296913013367883,0.05411978526524196
2025-08-03-llm,historical_analog,1236.0,0.18183540518279007,0.5334319588791742,0.08788341535844271
2025-08-03-llm,historical_evidence_blend,1236.0,0.18196619916066975,0.5345907105907264,0.06663779824706104
2025-08-03-llm,hybrid_analog_search,1236.0,0.1821200290785124,0.535870738663592,0.06623108084713134
2025-08-03-llm,market_only,1236.0,0.23571240810209856,0.6564084623020182,0.1964206293565855
2025-08-03-llm,reliability_routed_gate,1236.0,0.17728037814953182,0.5234362411158097,0.08707171318978432
2025-08-03-llm,search_llm_loop,1236.0,0.1821200290785124,0.535870738663592,0.06623108084713134
2025-08-03-llm,source_routed_gate,1236.0,0.1782104790887234,0.5267486385822918,0.06563441352310447
2025-08-03-llm,taxonomy_routed_gate,1236.0,0.17715719089767343,0.523141536978506,0.08780809413415015
2025-08-17-llm,aia_baseline,1215.0,0.19802332660143523,0.5779120668033805,0.1529191661171868
2025-08-17-llm,evidence_graph_v1,1215.0,0.18082998855348015,0.5343591189251429,0.06962742910211392
2025-08-17-llm,historical_analog,1215.0,0.17927411199279003,0.5274621777746309,0.0795966766690015
2025-08-17-llm,historical_evidence_blend,1215.0,0.18025327789598122,0.5309632902559319,0.06895696525249664
2025-08-17-llm,hybrid_analog_search,1215.0,0.18048156577473343,0.5324018685799232,0.07149650502245027
2025-08-17-llm,market_only,1215.0,0.23464072890326906,0.6538996441003605,0.196588255845097
2025-08-17-llm,reliability_routed_gate,1215.0,0.18151677338376246,0.531006193658095,0.0891457450953483
2025-08-17-llm,search_llm_loop,1215.0,0.18048156577473343,0.5324018685799232,0.07149650502245027
2025-08-17-llm,source_routed_gate,1215.0,0.18037178173170013,0.5320528927728608,0.07038065974741492
2025-08-17-llm,taxonomy_routed_gate,1215.0,0.1814744203541429,0.5309112842300221,0.08929546663141112
2025-08-31-llm,aia_baseline,1213.0,0.19437621467062977,0.5738549687257158,0.13364067922402126
2025-08-31-llm,evidence_graph_v1,1213.0,0.17391101348513904,0.514290841362849,0.05138931447886546
2025-08-31-llm,historical_analog,1213.0,0.17332648987876476,0.5137085175278169,0.08437389605093089
2025-08-31-llm,historical_evidence_blend,1213.0,0.17242428127914697,0.5103720974103177,0.06648860850023772
2025-08-31-llm,hybrid_analog_search,1213.0,0.1720175186265688,0.5092040242328265,0.06632975431697782
2025-08-31-llm,market_only,1213.0,0.2370212781121725,0.6614079012614096,0.1994630170341303
2025-08-31-llm,reliability_routed_gate,1213.0,0.17310563808683824,0.5147123272999521,0.06582863555238454
2025-08-31-llm,search_llm_loop,1213.0,0.1720175186265688,0.5092040242328265,0.06632975431697782
2025-08-31-llm,source_routed_gate,1213.0,0.16896529117931508,0.5024110935735743,0.06321819125759631
2025-08-31-llm,taxonomy_routed_gate,1213.0,0.169124297045528,0.5043731199470497,0.07826248351447199
2025-10-26-llm,aia_baseline,1077.0,0.20085895262721956,0.5807555099499815,0.12000481973076436
2025-10-26-llm,evidence_graph_v1,1077.0,0.20484076641660875,0.5857551508714275,0.11343316261957903
2025-10-26-llm,historical_analog,1077.0,0.18759679725063513,0.5460267882886083,0.023995641946642537
2025-10-26-llm,historical_evidence_blend,1077.0,0.18855559389994833,0.5504983417463755,0.0230937149843741
2025-10-26-llm,hybrid_analog_search,1077.0,0.18883888841245752,0.5523607951353402,0.027135385960759338
2025-10-26-llm,market_only,1077.0,0.22962913602495147,0.6405550875366084,0.1179530625211578
2025-10-26-llm,reliability_routed_gate,1077.0,0.18463985654060824,0.5393789066603447,0.06494420146315719
2025-10-26-llm,search_llm_loop,1077.0,0.18883888841245752,0.5523607951353402,0.027135385960759338
2025-10-26-llm,source_routed_gate,1077.0,0.1949351212381843,0.5650928702052245,0.0796594141813809
2025-10-26-llm,taxonomy_routed_gate,1077.0,0.1846202724623684,0.5393395242162373,0.06496532199253804
2025-11-09-llm,aia_baseline,1032.0,0.19611393017761358,0.5692931209114379,0.1322355290277782
2025-11-09-llm,evidence_graph_v1,1032.0,0.19471468355329036,0.5580509486780235,0.10198773194885424
2025-11-09-llm,historical_analog,1032.0,0.1811989921670536,0.527970513379393,0.06298988023552177
2025-11-09-llm,historical_evidence_blend,1032.0,0.18203377945931523,0.530562991945716,0.0538744211336735
2025-11-09-llm,hybrid_analog_search,1032.0,0.18228413577092448,0.5319951922107744,0.05667880570659046
2025-11-09-llm,market_only,1032.0,0.22871301007133943,0.6377537679299572,0.10046253101344488
2025-11-09-llm,reliability_routed_gate,1032.0,0.17695709685170452,0.5179543434901593,0.06092047037674052
2025-11-09-llm,search_llm_loop,1032.0,0.18228413577092448,0.5319951922107744,0.05667880570659046
2025-11-09-llm,source_routed_gate,1032.0,0.1873890487405641,0.5423135556348372,0.063027215049292
2025-11-09-llm,taxonomy_routed_gate,1032.0,0.1768412608630242,0.517665821824462,0.06106067362957031
2025-11-23-llm,aia_baseline,1065.0,0.20959024104225263,0.6007408007137365,0.13996264546405732
2025-11-23-llm,evidence_graph_v1,1065.0,0.21136972212471297,0.6063220771365823,0.12080766026283012
2025-11-23-llm,historical_analog,1065.0,0.186945152329137,0.5448721221711763,0.08769125690311162
2025-11-23-llm,historical_evidence_blend,1065.0,0.18822563777269855,0.5502160462039458,0.08594136958227334
2025-11-23-llm,hybrid_analog_search,1065.0,0.18856903875655198,0.5522177619621585,0.08863126315275628
2025-11-23-llm,market_only,1065.0,0.22985711427872377,0.6410775029122798,0.05056661609765697
2025-11-23-llm,reliability_routed_gate,1065.0,0.19894808401428876,0.5716095257542818,0.10048602305952355
2025-11-23-llm,search_llm_loop,1065.0,0.18856903875655198,0.5522177619621585,0.08863126315275628
2025-11-23-llm,source_routed_gate,1065.0,0.20757911999899603,0.5986814811490643,0.09812119194993305
2025-11-23-llm,taxonomy_routed_gate,1065.0,0.19592014500215676,0.5645274330767869,0.09168854355063714
2025-12-07-llm,aia_baseline,1054.0,0.20629305103259346,0.5958257361204974,0.08621239587813401
2025-12-07-llm,evidence_graph_v1,1054.0,0.2048620506272674,0.5837286373785372,0.1281753832627849
2025-12-07-llm,historical_analog,1054.0,0.18796266128166642,0.5437647379619036,0.05763176317586505
2025-12-07-llm,historical_evidence_blend,1054.0,0.18856019012700834,0.5456307272138233,0.05798994518802687
2025-12-07-llm,hybrid_analog_search,1054.0,0.18866899390616965,0.5462253370660559,0.06019719423511105
2025-12-07-llm,market_only,1054.0,0.23254066057125328,0.6485896448947992,0.11150843213766602
2025-12-07-llm,reliability_routed_gate,1054.0,0.18550676049003825,0.5402989515707209,0.0357715098704226
2025-12-07-llm,search_llm_loop,1054.0,0.18866899390616965,0.5462253370660559,0.06019719423511105
2025-12-07-llm,source_routed_gate,1054.0,0.19181457017915415,0.5563661348241962,0.07252643656225084
2025-12-07-llm,taxonomy_routed_gate,1054.0,0.18550676049003825,0.5402989515707209,0.0357715098704226
