question_set,variant,n,route_change_rate,brier,delta_brier_vs_base,log_score,delta_log_vs_base
2025-03-16-llm,source_prior_plus_0.06,1539,0.0,0.18438970809260077,0.0,0.5436254453327588,0.0
2025-03-16-llm,noisy_strength_minus_0.05,1539,0.0,0.18438970809260077,0.0,0.5436254453327588,0.0
2025-03-16-llm,noisy_strength_plus_0.05,1539,0.0,0.18438970809260077,0.0,0.5436254453327588,0.0
2025-03-16-llm,horizon_150,1539,0.1410006497725796,0.19364519537009145,0.009255487277490676,0.5624092330957725,0.018783787763013704
2025-03-16-llm,horizon_9999,1539,0.0,0.18438970809260077,0.0,0.5436254453327588,0.0
2025-03-16-llm,search_enabled_low,1539,0.07407407407407407,0.1853435380089664,0.0009538299163656394,0.5457075352230688,0.0020820898903100016
2025-03-30-llm,base,1539,0.0,0.17731309251706903,0.0,0.5229731837385437,0.0
2025-03-30-llm,hist_coverage_minus_0.10,1539,0.1585445094217024,0.17825263921183346,0.000939546694764426,0.525039648137549,0.0020664643990052634
2025-03-30-llm,hist_coverage_plus_0.10,1539,0.0,0.17731309251706903,0.0,0.5229731837385437,0.0
2025-03-30-llm,market_sharpness_minus_0.05,1539,0.0,0.17731309251706903,0.0,0.5229731837385437,0.0
2025-03-30-llm,market_sharpness_plus_0.05,1539,0.000649772579597141,0.17733329150425736,2.019898718833013e-05,0.5230144806505047,4.129691196097518e-05
2025-03-30-llm,prior_sharpness_minus_0.06,1539,0.0,0.17731309251706903,0.0,0.5229731837385437,0.0
2025-03-30-llm,prior_sharpness_plus_0.06,1539,0.11371020142949967,0.1800228059606295,0.0027097134435604686,0.5290997012921851,0.006126517553641353
2025-03-30-llm,source_prior_minus_0.06,1539,0.0,0.17731309251706903,0.0,0.5229731837385437,0.0
2025-03-30-llm,source_prior_plus_0.06,1539,0.0,0.17731309251706903,0.0,0.5229731837385437,0.0
2025-03-30-llm,noisy_strength_minus_0.05,1539,0.0,0.17731309251706903,0.0,0.5229731837385437,0.0
2025-03-30-llm,noisy_strength_plus_0.05,1539,0.0,0.17731309251706903,0.0,0.5229731837385437,0.0
2025-03-30-llm,horizon_150,1539,0.14035087719298245,0.1813928970746423,0.004079804557573258,0.5314948198424795,0.008521636103935748
2025-03-30-llm,horizon_9999,1539,0.0,0.17731309251706903,0.0,0.5229731837385437,0.0
2025-03-30-llm,search_enabled_low,1539,0.07407407407407407,0.1785318486162881,0.001218756099219065,0.5255691695627591,0.0025959858242153855
2025-04-13-llm,base,1529,0.0,0.167039359862652,0.0,0.5004532410339444,0.0
2025-04-13-llm,hist_coverage_minus_0.10,1529,0.15827338129496402,0.16895839305256813,0.001919033189916125,0.5043435079548249,0.0038902669208804586
2025-04-13-llm,hist_coverage_plus_0.10,1529,0.0,0.167039359862652,0.0,0.5004532410339444,0.0
2025-04-13-llm,market_sharpness_minus_0.05,1529,0.0006540222367560497,0.1670281231110385,-1.1236751613491469e-05,0.5004307133006485,-2.2527733295918395e-05
2025-04-13-llm,market_sharpness_plus_0.05,1529,0.0006540222367560497,0.16701828241980948,-2.1077442842520888e-05,0.5004101255762482,-4.3115457696196735e-05
2025-04-13-llm,prior_sharpness_minus_0.06,1529,0.0,0.167039359862652,0.0,0.5004532410339444,0.0
2025-04-13-llm,prior_sharpness_plus_0.06,1529,0.11249182472204054,0.17019808507368703,0.003158725211035024,0.507574331668314,0.007121090634369609
2025-04-13-llm,source_prior_minus_0.06,1529,0.001962066710268149,0.16703713811600956,-2.2217466424390153e-06,0.5004484836309618,-4.757402982558112e-06
2025-04-13-llm,source_prior_plus_0.06,1529,0.0,0.167039359862652,0.0,0.5004532410339444,0.0
2025-04-13-llm,noisy_strength_minus_0.05,1529,0.0,0.167039359862652,0.0,0.5004532410339444,0.0
2025-04-13-llm,noisy_strength_plus_0.05,1529,0.0,0.167039359862652,0.0,0.5004532410339444,0.0
2025-04-13-llm,horizon_150,1529,0.1432308698495749,0.16990368769388564,0.0028643278312336373,0.507338884643815,0.006885643609870651
2025-04-13-llm,horizon_9999,1529,0.0,0.167039359862652,0.0,0.5004532410339444,0.0
2025-04-13-llm,search_enabled_low,1529,0.07194244604316546,0.16822142793532197,0.0011820680726699617,0.5027937417232069,0.0023405006892625035
2025-04-27-llm,base,1561,0.0,0.18449307201831636,0.0,0.5444341787090569,0.0
2025-04-27-llm,hist_coverage_minus_0.10,1561,0.19538757206918642,0.1875360410918314,0.003042969073515034,0.5507192981623636,0.006285119453306787
2025-04-27-llm,hist_coverage_plus_0.10,1561,0.0,0.18449307201831636,0.0,0.5444341787090569,0.0
2025-04-27-llm,market_sharpness_minus_0.05,1561,0.007687379884689302,0.18444921079521556,-4.386122310079399e-05,0.5440747492053934,-0.000359429503663411
2025-04-27-llm,market_sharpness_plus_0.05,1561,0.014734144778987828,0.18450964793452068,1.6575916204325525e-05,0.5447226021736717,0.0002884234646148842
2025-04-27-llm,prior_sharpness_minus_0.06,1561,0.0,0.18449307201831636,0.0,0.5444341787090569,0.0
2025-04-27-llm,prior_sharpness_plus_0.06,1561,0.0,0.18449307201831636,0.0,0.5444341787090569,0.0
2025-04-27-llm,source_prior_minus_0.06,1561,0.20179372197309417,0.18751707438419724,0.003024002365880879,0.5506880113539129,0.006253832644856017
2025-04-27-llm,source_prior_plus_0.06,1561,0.0,0.18449307201831636,0.0,0.5444341787090569,0.0
2025-04-27-llm,noisy_strength_minus_0.05,1561,0.0,0.18449307201831636,0.0,0.5444341787090569,0.0
2025-04-27-llm,noisy_strength_plus_0.05,1561,0.0,0.18449307201831636,0.0,0.5444341787090569,0.0
2025-04-27-llm,horizon_150,1561,0.14349775784753363,0.18738128069326082,0.0028882086749444646,0.5511252346783063,0.00669105596924946
2025-04-27-llm,horizon_9999,1561,0.0,0.18449307201831636,0.0,0.5444341787090569,0.0
2025-04-27-llm,search_enabled_low,1561,0.11210762331838565,0.1871792547575981,0.002686182739281756,0.5499924159106028,0.0055582372015459125
2025-05-11-llm,base,1530,0.0,0.18361343295244695,0.0,0.5414898070520189,0.0
2025-05-11-llm,hist_coverage_minus_0.10,1530,0.2019607843137255,0.18639375793958005,0.002780324987133098,0.5476363951056302,0.006146588053611346
2025-05-11-llm,hist_coverage_plus_0.10,1530,0.0,0.18361343295244695,0.0,0.5414898070520189,0.0
2025-05-11-llm,market_sharpness_minus_0.05,1530,0.004575163398692811,0.18358518914060537,-2.8243811841577315e-05,0.5412691081932095,-0.00022069885880937612
2025-05-11-llm,market_sharpness_plus_0.05,1530,0.015032679738562092,0.18363222030431853,1.878735187157976e-05,0.5418035407105871,0.0003137336585682382
